57,66
18,34,"."
15,2," "
4,0," "
5,51,"-"
51,3,"!"
20,43,"."
11,33,"*"
23,30,"!"
5,17,"*"
32,4," "
16,50,"!"
42,31,"!"
32,6," "
42,34,"*"
12,15," "
34,38,"!"
4,16,"*"
12,28," "
50,60,"!"
35,24,"!"
43,5,"#"
19,39,"#"
51,2,"#"
56,34,"#"
37,18,"!"
18,26,"."
27,0," "
15,35,"#"
0,7," "
22,52,"*"
34,39,"!"
52,65,"#"
1,24," "
44,8,"!"
34,22,"!"
19,30,"#"
36,22,"!"
46,24,"!"
44,18,"#"
28,34,"!"
47,59,"*"
51,0,"#"
37,32,"!"
3,11," "
50,63,"*"
35,8,"#"
39,33,"!"
54,60,"*"
1,23,"#"
0,1," "
29,7," "
21,7,"."
1,11," "
43,10,"!"
51,59,"!"
51,32,"#"
25,29,"!"
54,64,"#"
5,31,"*"
50,24,"!"
29,20,"!"
54,59,"!"
43,33,"*"
25,20,"!"
47,20,"!"
50,48,"*"
46,54,"*"
32,0," "
12,44,"."
12,36," "
54,12,"!"
28,3," "
43,38,"!"
20,12,"#"
48,12,"!"
31,9," "
23,8,"*"
50,10,"!"
27,24,"!"
38,14,"!"
17,9,"#"
8,34,"!"
6,29,"#"
27,33,"!"
38,15,"!"
4,6," "
19,12,"."
47,2," "
50,55,"#"
35,17,"!"
38,36,"!"
10,44,"!"
29,0," "
52,14,"#"
53,58,"!"
6,12," "
1,13," "
1,33,"#"
8,44,"#"
31,33,"!"
41,3," "
33,10,"#"
2,27," "
45,56,"*"
26,14,"!"
44,1," "
22,0," "
1,20,"#"
1,18,"#"
9,38,"#"
52,28,"!"
27,21,"!"
2,30,"*"
22,2," "
8,9," "
12,53,"#"
50,64,"#"
53,32,"!"
15,40,"."
51,36,"!"
13,11," "
29,17,"!"
6,44," "
55,19,"#"
23,6,"*"
45,7,"!"
37,27,"!"
21,15,"."
35,10,"!"
47,12,"!"
4,2," "
18,4,"."
50,25,"#"
37,33,"!"
6,16,"!"
35,35,"!"
55,2,"#"
30,10," "
48,4,"#"
55,30,"#"
6,0," "
22,20,"!"
44,28,"!"
19,49,"!"
8,28,"!"
36,23,"!"
14,44,"."
21,32,"."
36,19,"!"
52,29,"!"
21,52,"*"
8,12,"#"
16,35,"."
52,0,"#"
46,7,"!"
31,13,"!"
47,49,"!"
51,43,"*"
48,46,"!"
46,25,"#"
37,51,"*"
42,15,"!"
10,48,"*"
13,26," "
47,57,"*"
35,14,"!"
27,25,"!"
54,13,"#"
40,16,"!"
38,11,"!"
6,28,"!"
48,39,"!"
43,4," "
6,51,"_"
53,51,"!"
40,38,"*"
29,43,"!"
4,17,"*"
5,1," "
35,37,"!"
46,1," "
32,14,"!"
26,33,"!"
49,19,"!"
26,19,"!"
14,13," "
0,12," "
55,41,"*"
11,29,"*"
43,23,"!"
54,55,"!"
23,2," "
51,26,"#"
40,21,"!"
2,17,"*"
29,8," "
33,31,"!"
33,46,"*"
15,18," "
42,60,"#"
22,30,"!"
48,45,"!"
23,47,"*"
45,9,"!"
7,50,"/"
55,6,"#"
49,28,"!"
40,56,"*"
9,20,"!"
11,36," "
36,29,"!"
51,40,"*"
47,0," "
43,18,"#"
0,15," "
28,23,"!"
37,28,"!"
30,4," "
44,55,"*"
13,31," "
43,14,"!"
51,18,"!"
10,43,"!"
42,18,"!"
42,12,"!"
2,5," "
12,5,"#"
28,0," "
33,15,"!"
23,37,"!"
51,24,"#"
23,23,"!"
32,1," "
29,47,"#"
30,15,"!"
40,41,"!"
28,18,"!"
45,49,"!"
36,2," "
3,35,"#"
28,41,"!"
55,38,"*"
25,1," "
54,38,"*"
52,43,"*"
23,25,"!"
11,15,"#"
52,17,"!"
18,14,"."
40,30,"!"
10,35,"#"
23,0," "
54,10,"#"
25,19,"!"
33,33,"!"
27,45,"#"
15,7,"."
33,39,"!"
51,13,"!"
44,52,"*"
54,25,"#"
22,10,"."
48,52,"!"
48,14,"!"
49,36,"!"
41,34,"#"
30,22,"!"
54,24,"!"
2,35,"!"
29,16,"!"
39,58,"*"
47,29,"!"
46,0," "
43,39,"*"
40,9,"!"
23,32,"!"
2,8," "
38,52,"*"
44,46,"!"
43,45,"!"
40,3," "
15,1," "
0,29," "
11,11,"#"
5,7," "
40,35,"#"
28,35,"!"
53,19,"!"
35,16,"!"
11,14,"#"
9,21,"!"
25,24,"!"
42,8,"!"
47,28,"!"
21,17,"."
15,21," "
34,3," "
27,37,"!"
12,32,"*"
48,15,"!"
5,36,"#"
43,59,"*"
33,44,"!"
12,1," "
47,30,"!"
37,8,"!"
48,62,"#"
31,28,"!"
22,22,"!"
8,20,"!"
9,33,"!"
26,45,"#"
32,37,"!"
47,22,"!"
4,39,"!"
10,0," "
56,10," "
22,33,"!"
31,11," "
26,8,"#"
46,16,"!"
49,18,"#"
3,7," "
20,52,"*"
34,33,"!"
19,19,"#"
53,38,"*"
28,21,"!"
24,7,"*"
32,22,"!"
52,51,"!"
53,44,"*"
50,38,"!"
6,24,"!"
5,24,"*"
36,34,"!"
29,2," "
20,1,"#"
38,53,"*"
21,47,"*"
34,21,"!"
28,6," "
0,21," "
37,48,"!"
2,3," "
47,17,"!"
9,46,"!"
20,7,"."
8,36,"!"
3,39,"!"
21,22,"."
18,17,"."
47,46,"!"
1,19,"#"
25,27,"!"
18,54,"#"
46,30,"!"
1,30,"#"
47,36,"!"
38,45,"#"
52,9,"!"
21,50,"*"
50,8,"!"
16,10,"."
20,47,"!"
37,54,"*"
0,8," "
51,29,"#"
43,30,"!"
35,23,"!"
41,25,"!"
23,42,"*"
31,0," "
38,44,"*"
50,42,"#"
14,21," "
33,18,"!"
43,36,"!"
49,14,"#"
48,17,"!"
2,20,"!"
52,8,"!"
5,38,"!"
5,30,"!"
46,53,"*"
6,23,"*"
7,23,"#"
15,19," "
45,44,"!"
40,12,"!"
39,12,"!"
46,55,"*"
44,17,"!"
41,50,"!"
18,36,"."
1,6," "
8,41,"!"
20,44,"."
26,27,"!"
10,51,"#"
46,21,"!"
17,19,"."
38,3," "
13,7,"."
30,44,"*"
44,39,"!"
6,42,"!"
45,59,"*"
46,43,"!"
22,50,"*"
6,11," "
39,59,"#"
41,4," "
39,42,"*"
38,29,"!"
40,27,"#"
14,37," "
19,29,"#"
11,26,"#"
6,46," "
8,13,"#"
2,12," "
33,28,"!"
2,22,"!"
45,58,"*"
31,29,"!"
50,5,"#"
12,24,"#"
49,48,"#"
50,51,"!"
18,24,"."
41,27,"!"
53,63,"*"
36,51,"*"
40,17,"!"
25,47,"*"
3,0," "
37,22,"!"
56,15," "
22,40,"!"
7,27,"#"
45,39,"!"
16,11,"."
4,13," "
33,25,"!"
31,25,"!"
9,2,"_"
25,23,"!"
34,16,"!"
51,53,"!"
27,28,"!"
1,1," "
25,25,"!"
22,43,"!"
2,18,"*"
43,42,"!"
14,15," "
41,45,"!"
28,39,"!"
8,10," "
41,56,"*"
13,3," "
53,62,"!"
24,32,"!"
16,37,"."
24,17,"!"
29,36,"!"
9,14,"!"
23,19,"!"
23,28,"!"
54,63,"*"
2,19,"#"
36,43,"!"
56,36,"#"
41,53,"!"
50,46,"*"
1,36,"#"
39,1," "
11,44,"."
55,60,"*"
38,34,"!"
25,13,"!"
11,45,"!"
45,40,"!"
22,45,"!"
52,4,"!"
52,47,"*"
4,22,"*"
2,38,"!"
13,4,"#"
46,50,"!"
43,40,"!"
38,54,"*"
9,39,"#"
32,35,"!"
13,8,"."
40,19,"!"
5,5," "
10,25,"!"
9,17,"!"
52,7,"#"
13,50,"*"
20,16,"#"
51,57,"!"
45,14,"!"
39,5," "
11,25,"#"
29,12," "
55,54,"!"
11,47,"*"
25,39,"*"
14,14," "
5,27,"#"
48,37,"!"
44,43,"!"
37,25,"!"
52,36,"!"
9,1," "
49,54,"!"
26,30,"!"
51,17,"!"
26,36,"#"
8,40,"#"
50,13,"!"
30,12," "
14,38,"#"
16,54,"#"
41,40,"!"
46,49,"!"
7,32,"!"
38,17,"!"
21,18,"."
21,25,"!"
15,42,"."
7,14," "
53,26,"#"
6,5," "
21,40,"."
52,55,"!"
9,35,"!"
22,41,"!"
33,3," "
8,19,"!"
16,38,"."
22,15,"."
24,49,"*"
0,2," "
35,25,"!"
48,2," "
21,36,"."
17,45,"."
13,23," "
30,3," "
3,2," "
24,38,"*"
20,36,"#"
45,43,"!"
43,54,"!"
43,29,"!"
15,23,"*"
54,48,"*"
47,44,"!"
35,47,"!"
52,22,"#"
45,24,"!"
40,6,"#"
56,44,"*"
56,35,"#"
22,44,"!"
11,5,"\"
12,0,"/"
37,44,"#"
20,40,"."
52,24,"!"
33,26,"!"
1,7," "
19,22,"."
49,30,"!"
37,40,"!"
5,28,"#"
5,49," "
52,6,"!"
53,12,"!"
10,8,"#"
26,43,"*"
32,7," "
23,38,"!"
8,8," "
33,0," "
41,29,"!"
33,24,"!"
42,48,"!"
53,7,"!"
42,43,"!"
33,19,"!"
1,8," "
53,17,"!"
27,12,"#"
51,27,"#"
40,39,"!"
13,14," "
28,13," "
53,61,"!"
13,6,"."
46,44,"!"
53,18,"!"
14,5,"*"
21,26,"!"
17,15,"."
11,23,"#"
54,44,"*"
49,55,"!"
22,14,"."
47,33,"*"
25,22,"!"
19,50,"*"
44,6,"!"
35,38,"!"
56,6," "
50,6,"!"
45,33,"*"
17,12,"."
43,51,"!"
28,27,"!"
33,27,"!"
29,4," "
49,46,"#"
53,9,"!"
40,25,"!"
47,8,"!"
18,28,"."
49,53,"!"
47,42,"!"
11,51,"*"
51,38,"!"
38,9,"!"
55,44,"*"
2,34,"#"
51,39,"#"
49,12,"!"
9,41,"#"
45,54,"*"
47,34,"*"
4,14," "
56,37,"#"
44,9,"!"
46,40,"!"
4,21,"*"
33,16,"!"
40,26,"!"
24,8,"*"
36,36,"!"
53,56,"!"
22,36,"!"
39,56,"*"
22,48,"*"
38,4," "
14,35," "
16,19,"#"
49,25,"#"
39,53,"*"
31,37,"!"
50,2,"!"
8,25,"!"
36,16,"!"
31,6," "
8,14,"#"
52,10,"#"
18,42,"."
23,43,"!"
17,13,"."
34,41,"!"
26,5," "
43,17,"!"
25,28,"!"
10,13,"!"
42,36,"!"
45,46,"!"
45,36,"!"
8,29,"!"
36,48,"!"
29,1," "
37,50,"!"
16,14,"."
10,19,"!"
46,42,"!"
41,19,"!"
52,49,"*"
21,48,"*"
15,47,"."
50,1,"#"
55,59,"!"
22,31,"!"
47,11,"!"
6,15,"#"
33,20,"!"
55,24,"!"
5,35,"*"
22,39,"!"
42,44,"!"
48,40,"!"
21,51,"*"
13,44,"."
43,24,"!"
30,42,"!"
24,39,"*"
13,47,"."
37,31,"!"
27,26,"!"
50,19,"!"
50,49,"*"
3,28," "
25,41,"*"
23,34,"!"
41,2," "
20,34,"#"
21,33,"."
27,23,"!"
39,28,"!"
41,14,"!"
7,29,"!"
36,41,"!"
18,3,"."
48,5,"!"
55,47,"*"
5,48," "
44,36,"!"
35,42,"!"
44,3," "
45,42,"!"
54,42,"*"
16,52,"*"
20,27,"."
19,16,"."
4,36,"#"
49,21,"!"
20,38,"#"
33,11,"!"
50,47,"*"
23,7,"*"
20,0," "
34,8," "
35,39,"!"
27,20,"!"
10,46,"!"
15,51,"!"
9,43,"!"
20,49,"!"
55,49,"!"
18,0," "
51,31,"#"
47,1," "
54,46,"*"
48,36,"!"
16,31,"."
11,10,"#"
9,15,"!"
41,41,"!"
46,19,"!"
47,43,"!"
37,13,"!"
10,10,"!"
18,19,"."
29,18,"!"
6,34,"#"
43,53,"!"
12,46,"*"
28,15,"!"
48,48,"!"
10,4,"\"
12,12," "
32,46,"*"
28,9," "
40,4," "
44,59,"*"
25,2," "
55,12,"#"
49,8,"!"
15,45,"."
43,34,"!"
31,17,"!"
17,41,"."
52,1,"!"
37,16,"!"
37,1," "
21,42,"."
31,4," "
46,48,"!"
44,34,"*"
33,47,"*"
37,15,"!"
39,36,"#"
25,21,"!"
33,48,"#"
24,42,"*"
36,44,"!"
34,2," "
22,24,"!"
18,45,"."
42,56,"!"
32,21,"!"
34,29,"!"
52,38,"#"
6,37,"#"
33,45,"!"
15,11,"."
11,3,"_"
47,10,"!"
15,33,"#"
9,32,"!"
43,60,"#"
32,39,"!"
49,9,"!"
3,30,"*"
8,37,"!"
22,8,"."
19,0," "
25,38,"*"
52,12,"!"
47,45,"!"
6,39,"!"
9,42,"!"
22,29,"!"
53,40,"*"
55,28,"!"
23,9,"*"
18,37,"."
34,28,"!"
15,38,"."
49,5,"!"
48,27,"!"
43,47,"!"
48,56,"*"
23,5,"*"
37,6," "
47,27,"!"
53,2,"#"
14,31," "
26,10,"*"
27,17,"!"
6,8," "
43,16,"!"
5,32,"!"
8,22,"!"
41,48,"!"
37,47,"!"
5,26,"!"
4,3," "
29,32,"!"
50,54,"#"
51,63,"*"
23,22,"!"
51,61,"!"
54,45,"*"
46,12,"!"
36,10,"!"
44,20,"!"
20,23,"."
41,60,"#"
38,5," "
56,40,"*"
6,20,"!"
20,37,"#"
32,25,"!"
14,8,"."
15,16," "
50,52,"!"
11,21,"#"
12,39," "
39,6,"#"
45,11,"!"
31,21,"!"
39,47,"#"
43,21,"!"
37,30,"!"
46,15,"!"
55,27,"!"
16,48,"!"
43,2," "
9,36,"#"
4,4," "
34,48,"!"
10,15,"!"
31,8," "
30,30,"!"
23,44,"!"
5,43," "
3,5," "
21,20,"."
46,5,"!"
22,34,"!"
5,19,"*"
2,39,"#"
36,26,"!"
54,9,"#"
22,11,"."
31,41,"!"
19,35,"."
49,3,"!"
53,39,"*"
40,37,"*"
40,22,"!"
42,35,"!"
26,35,"#"
9,47,"!"
8,21,"!"
35,22,"!"
20,53,"*"
32,10," "
43,20,"!"
56,19," "
9,34,"!"
29,27,"!"
26,12,"*"
46,36,"*"
35,1," "
47,35,"!"
48,28,"!"
36,42,"!"
2,33,"*"
13,5,"*"
13,52,"*"
53,22,"!"
49,23,"!"
40,43,"*"
56,28,"#"
20,54,"#"
21,39,"."
42,47,"!"
7,16,"#"
33,22,"!"
31,15,"!"
40,11,"!"
19,43,"."
48,51,"!"
36,31,"!"
4,37,"!"
25,5," "
17,42,"#"
16,46,"."
37,52,"*"
19,36,"."
15,28,"*"
3,4," "
16,30,"."
37,12,"!"
44,25,"#"
14,28," "
12,2," "
22,19,"."
12,3," "
25,9,"*"
3,6," "
31,26,"!"
49,31,"#"
54,41,"*"
16,0," "
50,53,"#"
16,20,"#"
39,25,"!"
6,25,"*"
12,47,"*"
31,18,"!"
39,30,"!"
26,3," "
16,26,"*"
0,0," "
19,20,"#"
20,15,"#"
8,3," "
29,23,"!"
32,45,"*"
12,11," "
7,7," "
51,47,"*"
28,40,"!"
50,11,"!"
8,17,"!"
20,26,"!"
53,3,"!"
32,26,"!"
35,51,"#"
10,47,"!"
51,60,"!"
20,4,"."
45,3," "
31,27,"!"
28,7," "
21,12,"."
5,12," "
38,12,"!"
34,43,"!"
49,17,"#"
44,51,"!"
14,1," "
42,3," "
49,22,"!"
28,12," "
45,0," "
27,16,"!"
27,32,"!"
23,31,"!"
40,49,"!"
14,30," "
43,43,"!"
4,7," "
30,26,"!"
9,5," "
25,0," "
0,11," "
34,45,"!"
3,16,"*"
41,58,"*"
51,35,"*"
53,30,"!"
49,1," "
25,37,"*"
9,10,"!"
26,41,"*"
7,21,"#"
42,59,"*"
16,25,"*"
11,38," "
1,28," "
55,31,"!"
7,52,"_"
25,43,"*"
44,0," "
17,1,"#"
50,62,"*"
9,44,"!"
7,17,"#"
21,16,"."
49,41,"!"
40,14,"!"
17,2,"*"
43,3," "
30,29,"!"
14,10,"."
16,45,"#"
2,2," "
45,45,"!"
24,0," "
23,4,"#"
5,8," "
27,41,"#"
9,8,"#"
16,42,"."
14,24,"*"
10,41,"#"
1,34,"!"
25,40,"*"
34,1," "
54,57,"!"
35,49,"!"
22,46,"!"
25,7,"#"
44,27,"!"
36,8,"!"
48,60,"!"
17,49,"!"
24,18,"!"
20,42,"."
53,15,"!"
25,11,"*"
47,40,"!"
42,53,"!"
29,3," "
26,31,"!"
9,50,"#"
27,43,"#"
37,5," "
56,8," "
38,42,"*"
48,32,"*"
7,39,"#"
23,18,"!"
44,29,"!"
54,8,"!"
42,52,"!"
9,22,"!"
51,44,"*"
11,31,"*"
47,15,"!"
6,36,"#"
3,1," "
30,20,"!"
48,63,"#"
42,11,"!"
9,29,"!"
16,17,"#"
48,55,"*"
45,8,"!"
6,1," "
49,6,"!"
38,6,"#"
50,26,"!"
16,33,"."
20,46,"!"
50,34,"*"
48,7,"!"
38,32,"!"
39,57,"*"
17,47,"."
48,31,"#"
34,42,"!"
30,16,"!"
14,42,"."
0,16," "
10,49,"*"
46,26,"!"
21,53,"*"
6,30,"#"
28,30,"!"
55,58,"!"
44,16,"!"
8,2," "
42,54,"!"
13,37," "
3,26,"#"
0,24," "
44,11,"!"
29,26,"!"
1,29," "
20,33,"#"
46,18,"#"
49,15,"#"
56,38,"*"
21,0," "
22,27,"!"
41,51,"!"
27,22,"!"
4,19,"*"
49,56,"!"
38,57,"#"
15,37,"#"
43,0," "
1,5," "
26,46,"#"
19,17,"."
23,16,"!"
28,25,"!"
53,24,"!"
55,53,"!"
18,10,"."
19,51,"*"
56,41,"*"
54,34,"!"
53,60,"!"
55,13,"#"
12,23," "
36,1," "
24,4," "
14,22," "
47,51,"!"
21,38,"."
19,54,"#"
10,29,"#"
6,32,"#"
36,15,"!"
29,39,"!"
17,33,"."
10,30,"#"
36,18,"!"
13,40,"#"
43,6,"!"
56,17," "
55,7,"#"
56,39,"*"
56,12," "
38,35,"!"
44,35,"!"
10,22,"!"
5,33,"*"
46,59,"*"
31,23,"!"
31,7," "
39,10,"!"
52,58,"!"
7,36,"!"
