53,72
26,70,"."
34,55,"H"
1,17," "
20,42,","
10,37,"H"
6,21,"H"
37,48," "
30,9,"W"
13,55,"M"
4,7," "
3,10," "
19,60," "
46,26,"H"
45,13," "
1,36,"M"
40,47,"."
49,33,"."
3,27,"M"
17,57," "
41,49,"~"
6,7," "
26,4,":"
40,51,"F"
42,36," "
40,44," "
18,21," "
31,58,"."
12,41,"M"
32,32,"."
24,43,"~"
5,25,"M"
39,32,"~"
32,57,"'"
9,55,"H"
51,20," "
37,12," "
25,46,","
18,44," "
21,15," "
40,12," "
23,12,":"
36,59,"~"
31,31,"~"
19,57," "
28,20," "
24,54," "
30,3,"M"
38,25," "
31,44," "
22,64,"H"
47,12," "
26,69,":"
7,25,"M"
15,4," "
34,1," "
17,26," "
36,3," "
18,27," "
50,18," "
26,60,"'"
25,16," "
7,17,"M"
39,45," "
40,25,"L"
23,52," "
42,31," "
3,16,"."
48,1," "
11,21,"M"
22,30,"L"
9,46,"I"
48,19," "
30,68,":"
13,59,"H"
48,7," "
50,37,"."
8,49,":"
11,61,"M"
47,5," "
19,18," "
11,37,"I"
16,46," "
35,9," "
7,21,"H"
3,41,"M"
27,44,"."
3,30,"M"
25,52," "
35,53,"'"
50,8," "
34,38,"."
9,42,"H"
6,52,"H"
22,29,"W"
26,14,":"
32,63,"H"
51,12," "
23,23,"K"
14,42," "
43,32,"."
15,63,"H"
52,25," "
7,1," "
39,28," "
12,51,"M"
17,1," "
19,51," "
12,59,"H"
50,31,"."
36,13," "
46,28,"H"
32,60," "
46,5," "
29,36," "
8,48,":"
34,10,"~"
41,11," "
25,13,":"
22,67,"H"
35,34,","
23,32,"I"
20,34," "
27,52," "
37,9," "
5,0," "
7,14,"M"
52,15," "
26,67,":"
19,27,"M"
8,16,"M"
20,21,"F"
18,64,"H"
8,42,"H"
37,32,"M"
29,17,":"
34,15,"H"
23,18," "
42,16," "
9,0," "
49,23," "
50,39,"."
36,10," "
18,13,"M"
24,66,"H"
9,49,"I"
18,38," "
23,5,"M"
18,39," "
20,37," "
27,11,"M"
7,40,"M"
39,33,"M"
17,41," "
31,0," "
5,28,"M"
19,28,"M"
29,51," "
14,53,"M"
3,22,"M"
52,0," "
31,43," "
44,39,":"
22,20," "
18,29," "
12,43,"L"
44,19," "
15,5," "
39,40,"M"
8,12,"M"
34,25,","
36,1," "
38,14," "
28,46," "
3,12," "
29,66,"M"
22,51," "
45,5," "
41,38," "
37,5," "
13,4," "
47,10," "
39,34,"M"
9,51,"I"
44,4," "
6,18,"M"
41,6," "
31,11,"I"
19,38," "
10,58,"H"
38,43,"~"
2,15," "
23,41,"."
2,20," "
4,24,"M"
23,8,"M"
44,17," "
43,23,"H"
35,20,"'"
7,33,"H"
26,32,"I"
17,6,"M"
43,30,"L"
1,25," "
30,13,"H"
48,4," "
12,23,"M"
29,7,"L"
36,25," "
23,0," "
16,34," "
27,6,"W"
14,61,"H"
51,1," "
40,6," "
50,34,"."
5,10," "
28,62,"M"
52,8," "
7,16,"M"
37,24," "
1,14," "
14,6," "
40,20,"H"
17,3," "
38,22,"L"
13,30,"Y"
24,17," "
41,33," "
38,7," "
22,41,"'"
41,8," "
20,48,"A"
7,5," "
33,59,"H"
23,10,"M"
7,0," "
8,29,"H"
5,52,":"
16,67,"."
37,39,","
32,28," "
47,19," "
19,31,"."
21,30,"W"
18,26," "
41,42," "
6,6," "
14,57,"H"
30,17,":"
5,45,"M"
15,9,"M"
21,28," "
32,43,"."
12,42,"M"
7,42,"M"
52,9," "
51,0," "
4,43,"M"
5,7," "
36,11," "
29,30,"M"
17,31," "
14,28," "
6,51,"H"
22,19," "
23,2," "
28,65,","
38,40,"M"
8,51,"H"
26,47," "
41,48,"F"
50,29,"I"
2,12," "
34,24,"L"
33,67,"M"
18,49," "
36,16,"M"
37,25,"."
7,8," "
16,51," "
8,21,"M"
29,45," "
12,35,"M"
41,37," "
34,51,"~"
5,43,"M"
8,18,"M"
10,11,"M"
42,40," "
11,33,"M"
37,33,"M"
35,18,":"
51,29,"~"
43,21,"H"
11,15,"M"
11,36,"I"
27,8,"I"
39,24,"L"
39,3," "
44,20,"'"
46,12," "
12,24,"~"
34,2," "
41,19,"I"
28,50,"."
36,28,"M"
32,15,"H"
29,69,"I"
49,24," "
16,53," "
24,7,"T"
49,7," "
23,57," "
13,15,"M"
31,8,"H"
50,26," "
41,32," "
45,42,"."
25,62,"H"
40,49,"M"
29,61,"."
4,12,":"
38,13," "
30,0," "
51,21," "
16,22," "
51,26," "
7,27,"M"
42,20,"H"
16,14,"M"
1,2," "
31,21,"I"
29,1,"~"
37,7," "
35,57,"H"
19,66,"H"
32,48,"'"
8,28,"H"
30,39,":"
17,59," "
35,33,","
41,7," "
36,18,":"
41,13," "
22,45," "
20,55," "
10,41,":"
25,12,"I"
15,29," "
44,38,":"
16,63,"H"
5,11," "
49,29,"I"
20,1," "
30,30,"H"
7,10,"M"
31,35,"~"
47,24," "
10,43,"I"
36,9," "
48,0," "
22,33,"."
17,21," "
0,33," "
9,16,"M"
2,17," "
50,17," "
27,54," "
48,16," "
22,4," "
38,8," "
22,14,"."
45,9," "
45,17," "
18,8,"M"
15,0," "
32,42," "
11,3," "
21,36," "
1,19," "
33,27," "
42,23,"H"
18,11,"M"
7,19,"M"
32,64,"."
6,30,"M"
8,6," "
21,11,"M"
9,58,"H"
6,0," "
6,37,"H"
28,66,","
12,0," "
27,56," "
33,26," "
25,21," "
18,3," "
46,4," "
26,15,":"
21,60," "
32,47," "
27,53," "
45,8," "
4,38,"H"
6,1," "
36,30,"L"
27,39," "
37,34,"M"
32,35," "
44,7," "
13,56,"M"
48,15," "
23,28," "
36,48," "
29,3,"L"
39,47," "
39,19,"'"
25,17,"."
18,10,"M"
43,18," "
31,66,"H"
26,49," "
41,44,"."
41,4," "
20,61,"H"
19,22,","
19,0," "
21,26," "
11,27,"I"
31,60,"'"
33,17,"~"
27,40,"."
38,21,"H"
30,65,"."
10,36,"I"
49,11," "
23,22,"M"
30,8,"H"
30,19,"."
40,2," "
33,14,"H"
14,11,"M"
7,23,"M"
8,50,":"
20,36," "
11,48,"H"
9,9,"M"
6,50,"M"
12,45,"H"
20,10,"M"
11,55,"H"
31,2," "
39,2," "
12,55,"H"
28,67," "
0,24," "
13,58,"H"
37,47," "
50,16," "
48,31,"I"
6,16,"M"
3,45,"A"
20,52," "
14,32," "
34,22,"~"
51,6," "
48,29,"H"
17,22," "
21,63,"H"
4,0," "
14,23," "
29,71,":"
16,61,"I"
22,16,"."
32,27," "
30,33,"H"
10,24,"M"
29,15,"I"
29,56," "
42,0," "
23,37," "
25,42,":"
21,14,"."
32,12,":"
49,37,"."
8,15,"M"
15,33," "
27,36," "
35,43,"."
24,58," "
20,29,"W"
37,16,"M"
39,21,"M"
13,29,"Y"
3,28,"M"
4,36,"I"
7,37,"M"
13,32,"M"
4,47,"L"
28,33,"I"
20,39," "
33,61,"H"
32,24,"."
0,25," "
8,57,"M"
16,30," "
44,1," "
16,62,"H"
28,49," "
32,46," "
42,14," "
38,17,"~"
31,41,"~"
50,15," "
43,43,"F"
43,24,"H"
28,40,"I"
7,18,"M"
45,31,"M"
46,43,"."
20,24," "
8,58,"M"
9,4," "
51,13," "
30,32,"W"
36,38,"M"
37,30,"M"
40,9," "
41,31," "
5,13," "
29,59,"."
46,30,"H"
25,4,":"
25,30,"H"
10,7," "
5,40,":"
42,5," "
42,34," "
25,7,"I"
24,9,"M"
24,59," "
44,13," "
52,14," "
45,39,"."
25,56," "
29,33,"L"
41,45,"'"
25,28,"."
18,34," "
0,31," "
34,7," "
47,22," "
33,40," "
49,35,"."
43,35," "
37,46," "
26,66,"T"
43,16," "
30,67,"H"
17,50," "
4,3," "
50,20," "
1,18," "
22,24,"A"
20,43,":"
13,31,"H"
48,36,"."
29,68,"."
33,38," "
10,29,"H"
32,59,"'"
47,9," "
20,8,"M"
13,35,"M"
38,39,"M"
19,19," "
43,13," "
10,47,"I"
41,9," "
21,57," "
14,34," "
19,23,"A"
18,51," "
1,38,":"
6,44,"M"
26,36," "
3,42,"M"
19,8,"M"
39,48," "
40,17," "
18,68,"."
7,22,"M"
44,9," "
39,20,"M"
27,48," "
26,57," "
2,11," "
6,17,"M"
40,38," "
9,59,"M"
21,65,"M"
35,19,"."
48,39,"."
51,31,"."
22,13," "
49,39,"."
5,31,"M"
17,32," "
13,62,"H"
29,21," "
18,20," "
26,12,"I"
37,49,"."
23,61,"~"
17,0," "
33,29,"."
2,37,"M"
6,55,"L"
50,35,"."
15,16,"M"
27,24," "
7,52,"H"
23,24,"~"
41,39," "
31,14,"H"
43,36," "
38,11," "
29,53," "
14,2," "
46,19," "
7,3," "
18,53,"."
36,20,"."
37,22," "
25,1,"H"
34,23,"M"
12,34,"M"
33,58,"I"
0,17," "
24,57," "
25,29,"I"
52,18," "
3,23,"M"
14,3," "
30,58,"."
37,6," "
40,4," "
49,16," "
27,0,"H"
32,0," "
16,3," "
33,5," "
39,27," "
16,11,"M"
6,23,"M"
8,13,"M"
25,5,"L"
47,30,"H"
48,25," "
25,24,"'"
22,7,"M"
8,11,"M"
13,44,"F"
47,21," "
40,19," "
34,0," "
5,29,"M"
28,14,"I"
0,9," "
13,52,"M"
10,6," "
20,22,"~"
41,25,"M"
14,8,"M"
51,25," "
49,15," "
5,33,"M"
17,36," "
12,46,"H"
5,53,"."
24,12,"I"
37,26,"."
17,9,"M"
52,13," "
45,2," "
26,3,"T"
24,29," "
46,13," "
22,52," "
46,14," "
8,9,"M"
35,25,"'"
10,52,":"
8,34,"H"
31,50,"I"
38,47," "
41,46,"H"
14,18," "
16,48," "
49,2," "
14,51,"M"
40,30," "
15,66,"L"
28,63,"."
3,40,"M"
6,11,"."
15,42," "
42,25,"I"
7,9,"."
17,37," "
19,49," "
31,57,"'"
19,10,"M"
36,54,"'"
12,57,"H"
33,32," "
40,3," "
40,39," "
47,31,"H"
20,67,"M"
49,3," "
2,21," "
5,49,"H"
52,11," "
19,35," "
35,35,","
42,33," "
45,38,"."
2,13," "
8,40,"M"
33,64,"H"
14,56,"H"
33,47," "
32,2," "
26,28," "
40,8," "
20,15,"."
17,51," "
0,30," "
10,55,"H"
6,12,"A"
40,26,"."
1,37,"O"
0,12," "
16,54," "
50,2," "
21,52," "
30,14,"H"
32,39," "
15,19," "
14,55,"M"
23,60," "
47,29,"H"
30,66,"H"
5,35,"M"
34,61,"I"
48,8," "
38,28,"."
22,39,"."
19,2," "
29,52," "
32,21,"I"
48,6," "
27,51," "
28,54," "
43,9," "
25,8,"I"
51,10," "
47,42,"."
35,39,","
26,6,"~"
42,17," "
28,26," "
8,38,"H"
28,9,"."
38,44," "
28,58," "
43,17," "
17,49," "
0,16," "
4,18,"L"
40,43," "
29,26," "
14,62,"H"
17,55," "
19,48," "
14,4," "
20,6,"M"
49,14," "
2,33,"I"
24,53," "
52,5," "
52,1," "
4,20,"M"
21,59," "
22,38," "
22,43," "
36,62,"~"
47,3," "
19,61,"H"
28,57,"."
34,53," "
13,47,"H"
21,32,"."
32,6,"Y"
5,17,"W"
22,31,"~"
0,28," "
5,26,"M"
27,27," "
30,37,"."
33,24," "
41,36," "
4,28,"M"
32,36,"."
22,65,"H"
26,50," "
11,8,"~"
0,36," "
24,26,","
51,36,"."
31,36,"'"
11,41,"I"
50,0," "
24,48,"M"
36,52," "
9,40,"H"
25,22," "
20,40," "
10,26,"H"
27,35," "
25,41," "
29,37," "
44,30,"M"
23,43,"H"
14,27," "
33,39," "
29,10," "
28,15,"I"
15,36," "
14,43," "
17,10,"M"
39,1," "
7,39,"M"
48,13," "
44,35,"W"
17,30," "
31,25," "
34,27," "
46,25,"H"
12,15,"M"
26,0,"I"
10,54,"H"
13,45,"~"
38,31,"M"
15,25," "
11,17,"M"
49,27,"H"
17,23," "
31,23,"F"
21,56,"."
20,18,"."
47,38,"."
50,13," "
10,60,"H"
31,68,"I"
29,42,":"
15,20," "
0,23," "
23,38," "
13,12,"M"
14,5," "
16,64,"H"
40,41," "
20,35," "
27,19," "
6,2," "
46,40,"."
29,22," "
33,56,"H"
14,58,"H"
29,25," "
20,41," "
3,35,"H"
24,42,"K"
2,24,":"
16,13,"M"
28,7,"I"
1,11," "
18,19," "
30,2,"~"
17,11,"M"
16,31," "
44,6," "
9,24,"M"
42,9," "
8,47,"I"
43,6," "
36,36,"~"
51,24," "
10,34,"I"
5,37,":"
24,64,"H"
52,34,"."
11,62,"L"
15,62,"H"
11,9,"M"
14,36," "
5,24,"M"
19,15," "
11,22,"M"
23,56," "
24,33,"."
38,26," "
42,38," "
17,48," "
37,17,"M"
8,27,"M"
7,36,"M"
32,18,":"
3,37,"H"
42,44,"I"
45,43,"."
36,19,"."
36,37,"M"
28,41,"I"
11,60,"H"
33,19,":"
32,4," "
17,64,"H"
3,7," "
17,65,"H"
39,4," "
27,46,"."
47,43,"."
0,20," "
5,44,"M"
45,41,"."
14,63,"H"
25,55," "
16,66,"H"
36,51," "
7,31,"H"
32,51,"H"
2,31,"H"
26,9,"I"
41,10," "
22,34," "
35,58,"H"
14,52,"M"
15,10,"M"
3,5," "
25,69,"L"
7,35,"M"
1,23," "
23,34,"."
10,38,"H"
8,44,"H"
25,0,"L"
29,28," "
37,20,"."
16,41," "
21,62,"H"
6,10," "
27,61,"."
23,1," "
27,62,"M"
27,16,":"
14,60,"H"
30,63,"~"
10,46,"I"
21,19,"."
9,3," "
22,57," "
13,14,"M"
11,30,"M"
24,65,"H"
37,38,"M"
24,11,"M"
27,29," "
24,50," "
20,19," "
50,33,"."
18,31," "
45,45,"."
48,42,"."
48,24," "
0,35," "
4,40,"I"
11,25,"H"
35,6," "
20,32,"."
28,5,"N"
25,50," "
11,1," "
28,45," "
50,11," "
5,23,"M"
35,1," "
14,45," "
35,61,"H"
15,44," "
36,21," "
35,40,","
11,51,"I"
35,8," "
29,5,"~"
20,50," "
13,57,"H"
46,37,"."
26,17," "
14,31," "
31,69,"H"
24,39,"."
3,3," "
24,55," "
8,23,"M"
30,4,"M"
29,46,"."
28,11,"."
21,27," "
16,1," "
1,29," "
43,19,"~"
30,24,"I"
0,11," "
6,35,"H"
6,43,"M"
36,50," "
22,27,"H"
24,2,"I"
25,34,"."
50,12," "
12,1," "
38,30,"~"
11,24,"M"
13,24," "
37,56,"M"
20,31,":"
34,54,":"
11,46,"H"
12,16,"M"
17,16," "
37,50," "
22,2," "
23,11,"M"
6,46,"M"
20,4,":"
51,30,"H"
30,42,","
1,7," "
20,30,"M"
49,26," "
17,58," "
45,1," "
18,46," "
38,45," "
2,36,"M"
30,44," "
18,23," "
11,0," "
10,12,"M"
11,53,"H"
12,39,"M"
17,29," "
44,33,"W"
21,45," "
20,56," "
39,5," "
11,50,"I"
9,54,"H"
22,10,"M"
29,62,"'"
7,13,"M"
22,56," "
38,3," "
21,42,"M"
21,39," "
43,38," "
6,28,"M"
2,5," "
17,62,"H"
47,11," "
32,19,":"
5,15," "
45,0," "
43,45,"."
22,37," "
4,16,"M"
34,19,"H"
52,23," "
34,18,":"
0,32," "
38,48,"."
3,1," "
29,27," "
35,29,","
24,56," "
32,52,"H"
18,47," "
18,56," "
6,53,"H"
51,35,"."
43,31,","
35,49,"~"
12,60,"H"
7,4," "
41,18," "
4,1," "
32,38,"."
38,49," "
47,15," "
32,49,"'"
8,19,"M"
23,25,"O"
44,29,"H"
31,16,":"
29,50,"."
11,40,"L"
37,2," "
32,40," "
30,57," "
15,54,"H"
9,11,"M"
16,10,"M"
36,14,"'"
5,27,"M"
4,26,"M"
5,38,":"
51,9," "
43,14," "
41,3," "
9,26,"M"
28,53," "
44,10," "
25,9,"I"
52,20," "
20,23,"'"
31,62," "
39,46," "
4,46,"M"
18,15,"F"
32,1," "
50,22," "
11,6," "
17,2," "
12,50,"M"
18,0," "
1,26," "
47,40,"."
21,48," "
23,9,"M"
26,51," "
3,14,"."
16,56," "
26,19,"."
26,61," "
52,30," "
23,64,"H"
47,2," "
20,20," "
7,30,"H"
51,19," "
47,34,"."
17,43," "
12,58,"H"
29,8,"'"
11,11,"M"
28,25," "
15,6,"~"
33,28," "
39,54,"F"
42,21,"H"
34,39," "
46,29,"H"
14,54,"M"
38,46,"."
29,64,"H"
40,46," "
10,15,"M"
12,19,"M"
22,50," "
6,3," "
42,37," "
17,13,"M"
0,15," "
44,25,"H"
40,11," "
37,1," "
9,57,"H"
19,6,"M"
26,5,":"
1,34,"A"
10,23,"M"
13,65,"."
33,9,"H"
19,20," "
22,21," "
35,56,":"
44,23,"H"
31,49,":"
15,50," "
38,4," "
29,32,"H"
45,16," "
16,12,"M"
10,57,"H"
29,31,"H"
19,40," "
7,2," "
39,44,"."
33,52,"H"
19,1," "
11,16,"M"
23,54," "
19,30,"L"
14,59,"H"
16,24," "
25,67,":"
47,28,"H"
19,4," "
25,25,"~"
34,44,"."
25,20," "
16,9,"M"
16,27," "
45,40,"."
46,0," "
12,36,"M"
2,29,"M"
34,32," "
10,27,"M"
22,28,"H"
40,37," "
10,3," "
27,28," "
49,28,"H"
48,20," "
8,7," "
41,29," "
47,17," "
28,71,":"
13,10,"M"
20,11,"M"
19,24,"W"
32,10,"I"
26,43,"~"
11,12,"M"
13,16,"M"
31,34,"9"
35,21," "
44,42,"."
3,26,"M"
12,52,"M"
25,68,"H"
23,45,"A"
6,20,"H"
41,43," "
29,49,"."
34,63,"T"
42,32," "
2,28,"M"
43,2," "
25,64,"M"
17,63,"H"
0,22," "
33,33," "
9,20,"M"
46,44,"."
36,27,"M"
9,41,"H"
49,21," "
43,39," "
5,19,"M"
32,26," "
20,46,"M"
14,50,"W"
10,31,"H"
23,44,"M"
34,64,"M"
15,21," "
27,26," "
18,61,"H"
16,49," "
40,24,"M"
30,12,"I"
32,17,"H"
3,21,"A"
14,29," "
26,18," "
6,29,"M"
3,0," "
19,26,"M"
24,62,"H"
52,24," "
35,3," "
33,0," "
44,14," "
9,22,"M"
19,54," "
13,19,"M"
19,64,"H"
46,1," "
4,23,"M"
24,16," "
34,35," "
22,15," "
39,43," "
5,3," "
25,58," "
16,0," "
9,23,"M"
9,48,"I"
25,10,"M"
13,6," "
46,18," "
48,21," "
37,14," "
37,21,"."
35,5," "
16,23," "
9,14,"M"
31,28," "
39,30,"."
22,17," "
38,24," "
28,30,"."
36,4," "
35,48,":"
10,21,"M"
39,25," "
29,43,":"
26,30,"I"
42,47,"."
9,50,"I"
40,33," "
32,41,"."
13,27,"~"
38,53,"I"
27,5,":"
27,25," "
30,25,":"
19,34," "
5,14," "
34,16,"I"
9,43,"H"
15,7,"M"
15,46," "
14,33," "
13,48,"M"
46,39,"."
43,7," "
18,65,"H"
24,10,"M"
8,22,"M"
9,53,"M"
6,25,"M"
15,34," "
27,10,"N"
21,16," "
44,34,"W"
46,16," "
17,60," "
36,15,"M"
45,35,"F"
13,40,"M"
17,19," "
18,59," "
15,49," "
28,32,"H"
33,30," "
48,30,"I"
27,55," "
32,62,";"
26,23," "
20,66,"M"
35,44,"."
28,17,":"
43,42,":"
50,5," "
7,26,"M"
3,29,"M"
32,45," "
23,51," "
28,3,"H"
38,9," "
35,60,"~"
10,16,"M"
20,9,"M"
24,0,","
27,9,"I"
12,18,"M"
23,30," "
25,15,"."
27,68,"."
33,44," "
7,57,"L"
18,41," "
49,1," "
30,51,"."
31,30,"~"
16,21," "
48,12," "
5,47,"M"
26,59," "
28,23," "
24,28," "
2,10," "
30,53," "
35,50," "
41,15," "
48,40,"."
30,62," "
26,21," "
39,42," "
13,17,"M"
5,4," "
36,5," "
3,36,"M"
31,13,"H"
46,35,"."
21,35," "
3,24,"M"
37,19,"L"
9,37,"M"
20,53," "
14,40," "
7,11,"M"
29,29,"M"
6,9," "
33,66,"W"
2,39,"."
27,47," "
29,18,"."
31,20,":"
50,1," "
36,40,"~"
34,37,"."
46,41,"."
32,16,"H"
10,33,"H"
48,41,"."
47,6," "
44,26,"H"
8,52,"M"
31,67,"H"
7,55,"H"
31,46,"'"
36,47," "
11,29,"H"
13,5," "
1,30," "
40,23,"M"
24,25,","
28,38," "
49,8," "
30,71,":"
23,47,"."
25,49," "
47,32,"H"
42,12," "
31,29,"~"
32,54,":"
52,29," "
44,24,"H"
35,55,":"
45,32,"M"
1,24," "
18,40," "
4,44,"M"
14,22,"V"
18,58," "
11,2," "
8,17,"M"
10,19,"M"
19,58," "
31,7,"M"
33,50," "
40,14," "
28,36," "
30,31,"H"
15,17,"~"
6,47,"A"
13,50,"M"
28,18,"."
4,15,"M"
33,11,"I"
0,37,"."
43,20,"H"
19,33," "
21,47," "
39,18," "
35,32,","
29,19,"."
14,39," "
27,59," "
19,67,"H"
33,60,"H"
29,70,"I"
17,66,"H"
38,36,"M"
30,56," "
20,45,"H"
31,3," "
19,29,"M"
17,14,"M"
49,12," "
16,40," "
43,27,"I"
47,23," "
37,54,"I"
41,2," "
26,16,"."
11,38,"H"
25,71,"'"
3,32,"M"
17,45," "
3,17," "
49,20," "
15,41," "
28,56," "
43,33," "
1,9," "
32,53,"I"
42,26,"T"
38,2," "
11,10,"M"
21,41,"M"
10,53,"I"
46,17," "
25,54," "
30,10,"L"
4,33,"M"
26,11,"M"
36,32,":"
22,36," "
29,13,"H"
29,6,"M"
46,31,"H"
7,28,"M"
46,20," "
30,61," "
28,28," "
23,46,"-"
1,31," "
6,27,"M"
1,20," "
6,24,"M"
12,22,"M"
49,30,"I"
16,38," "
30,40,"W"
22,47," "
23,31,":"
12,8," "
19,52,"."
48,14," "
32,20,":"
25,6,"I"
12,14,"M"
3,38,"H"
31,32,"T"
10,25,"H"
24,6,"L"
25,70,"I"
28,47,"."
14,12,"M"
49,41,"."
23,59," "
34,45," "
34,29," "
43,0," "
4,22,"M"
5,30,"M"
16,36," "
24,14,":"
5,1," "
9,45,"I"
27,67,"."
44,27,"H"
18,50,"."
52,10," "
26,1,"L"
50,7," "
4,19,"A"
17,47," "
20,14,"~"
51,23," "
2,16," "
18,18,"."
8,2," "
36,23," "
7,45,"M"
36,22," "
30,11,":"
31,55,"'"
27,2,"L"
34,41," "
11,5," "
33,20,"I"
12,11,"M"
36,60,"M"
10,48,":"
31,22,"W"
1,21," "
41,16," "
48,32,"I"
14,37," "
39,52,"H"
2,3," "
52,21," "
6,49,"M"
52,28," "
19,16,"."
34,14,"M"
27,60," "
18,57," "
29,0," "
16,2," "
16,19,"."
9,6," "
42,2," "
15,53,"W"
33,63,":"
25,33,"."
42,3," "
15,39," "
2,27,"M"
13,20,"W"
32,69,"H"
5,32,"M"
30,50,":"
31,53,"."
3,11," "
42,11," "
4,35,"H"
2,9," "
3,2," "
3,43,"L"
15,58,"H"
8,41,"H"
27,13,"I"
37,52," "
10,2," "
5,51,"I"
27,57," "
19,37," "
40,48,"'"
23,14," "
26,34,"."
36,41,"~"
21,61,"H"
0,3," "
29,9,":"
40,21,"H"
42,28,"M"
12,56,"H"
28,34," "
13,39,"M"
36,26,"'"
34,66,"~"
52,35,"."
34,46,"."
42,46,"."
48,18," "
4,2," "
17,46," "
9,7," "
13,54,"M"
30,69,"I"
27,45," "
17,8,"M"
10,30,"H"
35,46,"."
34,12," "
33,51,"H"
25,48," "
24,27,"."
49,18," "
13,28,"~"
12,29,"H"
8,39,"M"
28,39,"."
50,14," "
50,28,"H"
38,16," "
15,22," "
21,4,":"
29,60,"'"
21,3," "
26,10,"T"
31,27," "
34,34," "
16,33," "
44,31,"M"
24,41," "
23,42,":"
29,14,"I"
10,0," "
5,9," "
20,25," "
7,29,"M"
10,35,"I"
30,21,"."
28,37," "
18,66,"H"
19,36," "
24,36," "
32,33," "
22,8,"M"
21,53,"."
22,5,"M"
6,13,"M"
26,24," "
46,27,"H"
52,27," "
9,39,"H"
40,34," "
42,27,"M"
45,33,"M"
28,55," "
8,8,"."
15,38," "
51,7," "
20,62,"H"
14,44," "
50,19," "
26,13,"I"
12,25,"W"
23,20," "
3,44,":"
49,4," "
38,56,"'"
21,54," "
27,64,"'"
36,53,"."
16,29," "
47,4," "
18,43," "
15,59,"~"
26,31,"I"
12,27,"M"
9,30,"M"
38,38,"M"
35,38,","
12,30,"H"
27,4,":"
20,59," "
6,56,"."
4,45,"M"
29,12,"H"
24,4,"I"
24,5,"I"
15,52,"~"
11,44,"I"
30,49,":"
6,5," "
45,30,"M"
9,2," "
28,31,"H"
12,53,"H"
18,32," "
15,55,"H"
25,32,":"
7,48,"T"
8,32,"H"
11,26,"I"
44,22,"H"
0,6," "
21,24," "
41,35," "
33,68,"~"
35,62,"W"
43,11," "
24,40,"."
35,54,"'"
32,66,"~"
5,2," "
44,5," "
33,57,"I"
17,18," "
41,12," "
28,10,"'"
14,13,"M"
2,4," "
40,32," "
18,36," "
25,11,"M"
15,13,"M"
32,22,"T"
36,31,","
31,59,"."
13,64,"H"
8,0," "
39,23,"M"
10,56,"H"
36,6," "
12,21,"M"
8,54,"H"
12,9,"."
13,34,"M"
21,37," "
43,34," "
1,12," "
8,24,"M"
26,22," "
37,57,"~"
39,13," "
22,53," "
18,67,"H"
5,36,"H"
31,54,"."
48,11," "
25,31,"H"
9,27,"M"
35,45,"."
52,16," "
29,57,"."
28,52," "
42,15," "
33,48," "
19,53," "
35,52," "
5,50,"I"
42,7," "
45,21," "
22,61,"H"
27,15,":"
8,25,"M"
34,42," "
15,24," "
15,12,"M"
35,15,"M"
14,46," "
20,26," "
11,18,"M"
27,34,"."
13,51,"M"
31,47,"."
31,6,"M"
34,40," "
34,49," "
38,33,"M"
23,4," "
13,61,"H"
40,10," "
